mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"1M 4MSPS:0",0,5.40032e-07,48.0674,-0.177525,20.6317,0,0
"1M 4MSPS:01",1,1.01925e-06,59.1273,-0.180525,18.9488,0,0
"1M 4MSPS:02",2,2.4849e-06,57.3105,-0.185939,20.3911,0,0
"1M 4MSPS:03",3,1.04465e-06,19.1305,-0.179333,20.4081,0,0
"1M 4MSPS:04",4,1.82047e-06,123.227,-0.18246,20.0183,0,0
"1M 4MSPS:05",5,2.71669e-06,85.3395,-0.186118,20.4495,0,0
"1M 4MSPS:06",6,1.24636e-06,78.1557,-0.18025,20.6818,0,0
"1M 4MSPS:07",7,9.11966e-07,47.1139,-0.182128,20.4772,0,0
"1M 4MSPS:08",8,-1.16813e-05,17.5391,-1.18532,20.388,0,0
"1M 4MSPS:09",9,-3.41372e-06,74.5732,-0.185858,19.7157,0,0
"1M 4MSPS:010",10,-2.69815e-06,111.663,-0.196495,19.0635,0,0
"1M 4MSPS:011",11,-8.42347e-07,9.89461,-0.172926,19.8255,0,0
"1M 4MSPS:012",12,-7.37224e-07,53.9077,-0.175477,20.4965,0,0
"1M 4MSPS:013",13,4.72362e-07,33.0589,-0.178892,20.5234,0,0
"1M 4MSPS:014",14,-2.23308e-06,55.7208,-0.173311,20.4759,0,0
"1M 4MSPS:015",15,-2.53185e-06,63.6834,-0.194582,20.5236,0,0
"1M 4MSPS:016",16,-1.14333e-05,118.57,-1.19205,16.1835,0,0
"1M 4MSPS:017",17,-1.49916e-06,123.813,-0.17411,19.7589,0,0
"1M 4MSPS:018",18,-1.73317e-06,51.7833,-0.171715,20.0626,0,0
"1M 4MSPS:019",19,-1.11368e-06,90.8607,-0.174106,19.4609,0,0
"1M 4MSPS:020",20,1.16663e-06,9.14572,-0.182308,20.4653,0,0
"1M 4MSPS:021",21,-1.15165e-05,113.56,-1.19453,14.5536,0,0
"1M 4MSPS:022",22,1.15153e-06,120.144,-0.180492,20.3604,0,0
"1M 4MSPS:023",23,-1.34589e-06,2.83166,-0.172579,19.6391,0,0
"1M 4MSPS:024",24,-7.8353e-07,65.902,-0.174251,20.2722,0,0
"1M 4MSPS:025",25,8.23597e-07,103.103,-0.179619,20.4696,0,0
"1M 4MSPS:026",26,2.2911e-06,70.2863,-0.190628,8.73787,0,0
"1M 4MSPS:027",27,-2.92766e-06,53.6339,-0.192536,19.4411,0,0
"1M 4MSPS:028",28,-2.62976e-06,107.671,-0.193581,19.6516,0,0
"1M 4MSPS:029",29,-1.92139e-06,39.7597,-0.170316,20.4958,0,0
"1M 4MSPS:030",30,2.41728e-06,29.3021,-0.186306,19.9662,0,0
"1M 4MSPS:031",31,-1.45146e-06,46.8185,-0.17232,20.3251,0,0
"1M 4MSPS:032",32,-1.0754e-06,79.8655,-0.175358,19.959,0,0
"1M 4MSPS:033",33,1.82589e-06,59.2281,-0.183994,19.8773,0,0
"1M 4MSPS:034",34,-2.63093e-06,4.67102,-0.194784,19.8823,0,0
"1M 4MSPS:035",35,3.92573e-06,122.491,-0.18821,20.2334,0,0
"1M 4MSPS:036",36,-1.18626e-05,120.516,-1.19122,14.1979,0,0
"1M 4MSPS:037",37,3.57884e-07,77.0446,-0.182541,20.0853,0,0
