mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"1M_8MS_125_7:0",0,,2.61787,-1.19688,11.2287,0,1,2,4703,73,2110,2593
"1M_8MS_125_7:01",1,,26.8486,-0.187839,11.3379,0,0,27,4137,64,2124,2013
"1M_8MS_125_7:02",2,,93.6198,-0.203913,10.6547,0,0,94,1996,31,2115,-119
"1M_8MS_125_7:03",3,,96.1171,-0.200741,9.85814,0,0,96,1868,29,2114,-246
"1M_8MS_125_7:04",4,,67.0495,-0.200539,10.4427,0,0,67,2041,31,2119,-78
"1M_8MS_125_7:05",5,,72.8528,-0.195152,11.722,0,0,73,3865,60,2126,1739
"1M_8MS_125_7:06",6,,76.1655,-0.204377,13.7268,0,0,76,4165,65,2110,2055
"1M_8MS_125_7:07",7,,12.5392,-1.19789,12.1523,0,1,12,6309,98,2111,4198
"1M_8MS_125_7:08",8,,27.5196,-0.19988,12.7944,0,0,28,4121,64,2120,2001
"1M_8MS_125_7:09",9,,-0.0446822,-0.20263,10.2864,0,2,0,5535,86,2121,3414
"1M_8MS_125_7:010",10,,39.6972,-0.191063,10.4615,0,0,40,7079,110,2124,4955
"1M_8MS_125_7:011",11,,93.8495,-0.19208,11.9815,0,3,94,4203,65,2119,2084
"1M_8MS_125_7:012",12,,8.61517,-1.2046,12.3764,0,0,8,4750,74,2110,2640
"1M_8MS_125_7:013",13,,30.4307,-0.202144,10.7271,0,0,30,4117,64,2110,2007
"1M_8MS_125_7:014",14,,76.922,-0.190738,11.5963,0,0,77,7874,123,2116,5758
"1M_8MS_125_7:015",15,,120.954,-0.189499,12.6335,0,0,121,4061,63,2118,1943
"1M_8MS_125_7:016",16,,29.4596,-0.206199,13.3621,0,0,29,7388,115,2111,5277
"1M_8MS_125_7:017",17,,-0.135714,-0.197446,13.3364,0,0,0,3592,56,2119,1473
"1M_8MS_125_7:018",18,,114.595,-1.21053,10.3424,0,1,114,3047,47,2111,936
