mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"60M8MBPS:0",0,,28.1059,-0.229068,16.144,0,0,28,1028,64
"60M8MBPS:01",1,,41.115,-0.224311,15.3752,0,0,41,1576,98
"60M8MBPS:02",2,,72.033,-0.223225,16.8271,0,0,72,989,61
"60M8MBPS:03",3,,126.511,-1.23534,13.9424,0,0,126,1704,106
"60M8MBPS:04",4,,90.0457,-0.222812,17.6256,0,0,90,1085,67
"60M8MBPS:05",5,,127.705,-1.23666,10.1862,0,0,127,1119,69
"60M8MBPS:06",6,,56.6969,-0.239271,16.6185,0,0,57,2023,126
"60M8MBPS:07",7,,52.9088,-0.220216,15.4296,0,0,53,1040,65
"60M8MBPS:08",8,,119.603,-1.23172,17.2291,0,0,119,1103,68
"60M8MBPS:09",9,,3.72638,-0.22277,11.9852,0,0,4,980,61
"60M8MBPS:010",10,,78.3618,-0.228726,14.6308,0,0,78,1071,66
"60M8MBPS:011",11,,10.9007,-0.2241,15.0542,0,0,11,1749,109
"60M8MBPS:012",12,,84.8832,-0.215632,14.3647,0,0,85,1991,124
"60M8MBPS:013",13,,61.2225,-0.228725,15.6997,0,0,61,1048,65
"60M8MBPS:014",14,,119.575,-1.23196,14.626,0,0,119,1099,68
"60M8MBPS:015",15,,109.457,-0.225195,16.4605,0,0,109,1095,68
"60M8MBPS:016",16,,17.6599,-0.223912,14.9825,0,0,18,1012,63
"60M8MBPS:017",17,,109.157,-0.22541,15.0601,0,0,109,1099,68
"60M8MBPS:018",18,,118.172,-0.225058,14.6757,0,0,118,1031,64
"60M8MBPS:019",19,,52.9305,-0.215734,14.0793,0,0,53,966,60
"60M8MBPS:020",20,,54.5037,-0.231787,16.6074,0,0,55,1986,124
"60M8MBPS:021",21,,48.9742,-0.217739,13.4417,0,0,49,1040,65
"60M8MBPS:022",22,,28.4059,-0.231237,15.1488,0,0,28,1016,63
"60M8MBPS:023",23,,23.3287,-0.231626,14.7532,0,0,23,1008,63
"60M8MBPS:024",24,,38.4707,-0.229159,12.1848,0,0,38,1036,64
"60M8MBPS:025",25,,60.9222,-0.21215,15.4918,0,0,61,1052,65
"60M8MBPS:026",26,,81.2206,-0.222412,14.897,0,0,81,1079,67
"60M8MBPS:027",27,,111.797,-0.212203,14.8376,0,0,112,1093,68
"60M8MBPS:028",28,,0.692455,-1.22695,15.2824,0,0,0,1577,98
"60M8MBPS:029",29,,23.6128,-0.236266,16.7715,0,0,24,1018,63
"60M8MBPS:030",30,,33.9736,-0.224827,12.3048,0,0,34,947,59
"60M8MBPS:031",31,,49.269,-0.229621,9.59493,0,0,49,1210,75
"60M8MBPS:032",32,,111.148,-0.217,14.8819,0,0,111,1795,112
"60M8MBPS:033",33,,55.6958,-0.233783,16.5724,0,0,56,1051,65
"60M8MBPS:034",34,,93.1095,-0.22321,15.5872,0,0,93,1008,63
"60M8MBPS:035",35,,18.0895,-0.221546,15.0716,0,0,18,936,58
"60M8MBPS:036",36,,10.4678,-0.226359,11.4937,0,0,10,997,62
"60M8MBPS:037",37,,0.889979,-0.220888,16.8,0,0,1,1513,94
"60M8MBPS:038",38,,2.1004,-0.222863,17.0459,0,0,2,1875,117
"60M8MBPS:039",39,,80.5536,-0.229707,13.2919,0,0,81,1518,94
"60M8MBPS:040",40,,105.764,-0.206614,14.6609,0,0,106,1091,68
"60M8MBPS:041",41,,42.7625,-0.213864,7.28259,0,0,43,1941,121
"60M8MBPS:042",42,,15.0791,-0.224551,10.5943,0,0,15,995,62
"60M8MBPS:043",43,,66.6283,-0.231076,10.7564,0,0,67,173,10
"60M8MBPS:044",44,,74.5295,-0.227529,13.2919,0,0,75,988,61
"60M8MBPS:045",45,,76.1767,-0.222643,10.5757,0,0,76,994,62
"60M8MBPS:046",46,,105.019,-0.21579,13.5796,0,0,105,1082,67
"60M8MBPS:047",47,,46.9625,-0.212633,14.4195,0,0,47,1041,65
"60M8MBPS:048",48,,23.2654,-0.218611,15.6792,0,0,23,942,58
"60M8MBPS:049",49,,15.0497,-0.221281,15.9669,0,0,15,1954,122
"60M8MBPS:050",50,,68.2191,-0.219697,13.9752,0,0,68,893,55
"60M8MBPS:051",51,,78.2853,-0.222604,14.599,0,0,78,1066,66
"60M8MBPS:052",52,,16.2389,-0.219741,15.6203,0,0,16,1380,86
"60M8MBPS:053",53,,44.6154,-0.225201,14.1761,0,0,45,1309,81
"60M8MBPS:054",54,,120.24,-0.223469,13.8953,0,0,120,1106,69
"60M8MBPS:055",55,,73.5791,-0.233798,9.21467,0,0,74,694,43
"60M8MBPS:056",56,,29.9144,-0.217925,14.7033,0,0,30,1015,63
"60M8MBPS:057",57,,27.8119,-0.215821,-7.09163,0,0,28,1596,99
"60M8MBPS:058",58,,16.0393,-0.22004,16.7791,0,0,16,69,4
"60M8MBPS:059",59,,19.2316,-0.218732,14.8496,0,0,19,1003,62
"60M8MBPS:060",60,,48.0458,-0.218014,15.6916,0,0,48,963,60
"60M8MBPS:061",61,,120.112,-0.216328,14.4944,0,0,120,1104,69
"60M8MBPS:062",62,,43.7075,-0.20826,17.1752,0,0,44,1033,64
"60M8MBPS:063",63,,118.891,-0.213009,15.8293,0,0,119,1114,69
"60M8MBPS:064",64,,95.8372,-0.208627,17.3935,0,0,96,1089,68
"60M8MBPS:065",65,,99.8189,-0.211123,15.0664,0,0,100,1862,116
"60M8MBPS:066",66,,21.3765,-0.21756,16.9885,0,0,21,1011,63
"60M8MBPS:067",67,,21.6409,-0.219361,13.7213,0,0,22,938,58
"60M8MBPS:068",68,,112.928,-0.215017,14.4272,0,0,113,874,54
"60M8MBPS:069",69,,20.1,-0.217586,15.9391,0,0,20,1435,89
"60M8MBPS:070",70,,23.7561,-0.219373,14.4616,0,0,24,1288,80
"60M8MBPS:071",71,,93.2273,-0.226588,13.3603,0,0,93,1079,67
"60M8MBPS:072",72,,29.4496,-0.235989,10.9703,0,0,29,1059,66
"60M8MBPS:073",73,,19.9964,-0.229814,12.7156,0,0,20,1020,63
"60M8MBPS:074",74,,14.8613,-0.231185,13.2904,0,0,15,19,1
"60M8MBPS:075",75,,117.945,-0.222251,16.6318,0,0,118,1107,69
"60M8MBPS:076",76,,51.9296,-0.227295,14.6089,0,0,52,1037,64
"60M8MBPS:077",77,,14.3284,-0.236151,17.1122,0,0,14,1348,84
"60M8MBPS:078",78,,33.4692,-0.236968,14.198,0,0,33,1017,63
"60M8MBPS:079",79,,25.9828,-0.234104,1.74784,0,0,26,1593,99
"60M8MBPS:080",80,,13.1625,-0.233071,14.7261,0,0,13,1009,63
"60M8MBPS:081",81,,19.6674,-0.229367,16.2417,0,0,20,941,58
"60M8MBPS:082",82,,39.02,-0.221701,14.2546,0,0,39,852,53
"60M8MBPS:083",83,,97.1184,-0.229237,16.9587,0,0,97,1013,63
"60M8MBPS:084",84,,33.4226,-0.233853,13.3455,0,0,33,323,20
"60M8MBPS:085",85,,125.671,-1.24045,13.45,0,0,125,1263,78
"60M8MBPS:086",86,,85.6699,-0.242662,15.748,0,0,86,1066,66
"60M8MBPS:087",87,,37.4292,-0.23784,15.6975,0,0,37,1020,63
"60M8MBPS:088",88,,17.9476,-0.23138,15.8064,0,0,18,1203,75
"60M8MBPS:089",89,,115.187,-0.228853,15.0445,0,0,115,1103,68
"60M8MBPS:090",90,,37.1518,-0.2285,13.7045,0,0,37,1030,64
"60M8MBPS:091",91,,65.0324,-0.228712,15.9781,0,0,65,1055,65
"60M8MBPS:092",92,,40.2758,-0.236118,17.1034,0,0,40,1027,64
"60M8MBPS:093",93,,112.29,-0.235756,13.6236,0,0,112,1023,63
"60M8MBPS:094",94,,74.0959,-0.230596,15.7377,0,0,74,985,61
"60M8MBPS:095",95,,18.5966,-0.227759,16.1391,0,0,19,1010,63
"60M8MBPS:096",96,,1.50387,-1.23034,15.3473,0,0,1,913,57
"60M8MBPS:097",97,,82.5511,-0.230639,13.5395,0,0,83,1112,69
"60M8MBPS:098",98,,59.3038,-0.225116,17.9867,0,0,59,1049,65
"60M8MBPS:099",99,,1.74732,-0.2289,18.496,0,0,2,915,57
"60M8MBPS:0100",100,,19.3792,-0.219032,18.2185,0,0,19,1003,62
"60M8MBPS:0101",101,,94.7206,-0.206601,17.3997,0,0,95,1089,68
"60M8MBPS:0102",102,,14.3484,-0.220472,17.6229,0,0,14,1003,62
"60M8MBPS:0103",103,,104.002,-0.215066,18.8643,0,0,104,1022,63
"60M8MBPS:0104",104,,22.572,-0.222825,17.1965,0,0,23,1013,63
"60M8MBPS:0105",105,,87.4554,-0.231341,13.9293,0,0,87,1070,66
