mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"60M8MBPS:0",0,,3138,-1.80701,2.41576,0,2,3136,47149,2946
"60M8MBPS:01",1,,666.225,-1.80628,11.8912,0,0,664,41162,2572
"60M8MBPS:02",2,,403.767,-1.80669,12.5804,0,0,402,30922,1932
"60M8MBPS:03",3,,2958.99,-1.78919,9.00288,0,0,2957,45435,2839
"60M8MBPS:04",4,,2704.77,-1.81221,2.96476,0,0,2703,42201,2637
"60M8MBPS:05",5,,2009.78,-1.81846,5.39685,0,1,2008,60628,3789
"60M8MBPS:06",6,,3340.84,-1.86568,4.28735,0,0,3339,51628,3226
"60M8MBPS:07",7,,783.772,-1.83123,11.1959,0,0,782,48155,3009
"60M8MBPS:08",8,,1927.13,-1.85764,10.3445,0,0,1925,24569,1535
"60M8MBPS:09",9,,25.5038,-1.83993,15.7779,0,0,24,4312,269
"60M8MBPS:010",10,,4003.73,-1.85189,3.55952,0,0,4002,8354,522
"60M8MBPS:011",11,,1104.69,-1.85291,12.9394,0,0,1103,48164,3010
"60M8MBPS:012",12,,3488.7,-1.85664,12.5659,0,0,3487,61744,3859
"60M8MBPS:013",13,,3930.8,-1.81457,4.61117,0,1,3929,61764,3860
"60M8MBPS:014",14,,2356.24,-1.80524,12.659,0,0,2354,33730,2108
"60M8MBPS:015",15,,3045.13,-1.88645,12.6312,0,0,3043,18209,1138
"60M8MBPS:016",16,,3138.97,-1.82916,2.82469,0,0,3137,49122,3070
"60M8MBPS:017",17,,920.603,-1.90731,2.3932,0,1,919,12090,755
"60M8MBPS:018",18,,2002.94,-1.78736,5.65902,0,0,2001,33168,2073
"60M8MBPS:019",19,,2682.76,-1.80605,2.35344,0,0,2681,41756,2609
"60M8MBPS:020",20,,2476.15,-1.83813,11.1061,0,0,2474,33057,2066
"60M8MBPS:021",21,,2028.62,-1.85718,9.69861,0,1,2027,30633,1914
"60M8MBPS:022",22,,519.171,-1.85974,11.5182,0,0,517,43326,2707
"60M8MBPS:023",23,,2309.17,-1.84954,11.1454,0,0,2307,33275,2079
"60M8MBPS:024",24,,3322.54,-1.82796,2.75299,0,0,3321,50899,3181
"rx msg: 60M���T�NFJ;",-1,,384.082,-1.83705,9.3185,1,1,382,4318,269
"60M8MBPS:026",26,,1860.39,-1.81315,7.62298,0,0,1858,58978,3686
"60M8MBPS:028",28,,1516.87,-1.81076,9.32066,0,1,1515,12570,785
"60M8MBPS:029",29,,556.147,-1.8067,14.0165,0,1,554,31150,1946
"60M8MBPS:030",30,,657.913,-1.81994,14.5276,0,2,656,31184,1949
"60M8MBPS:031",31,,836.141,-1.83175,12.0435,0,0,834,31793,1987
"60M8MBPS:032",32,,585.468,-1.84986,14.4468,0,1,583,44345,2771
"60M8MBPS:033",33,,1446.96,-1.83033,10.6854,0,0,1445,58196,3637
"60M8MBPS:034",34,,2869.58,-1.84802,4.22348,0,0,2868,33450,2090
"60M8MBPS:035",35,,784.036,-1.85261,11.0103,0,0,782,31357,1959
"60M8MBPS:036",36,,1111.2,-1.84391,5.68982,0,0,1109,16734,1045
"60M8MBPS:037",37,,1793.23,-1.84525,3.01867,0,0,1791,27473,1717
"60M8MBPS:039",39,,1967.64,-1.83456,10.4662,0,1,1966,985,61
"60M8MBPS:040",40,,169.443,-1.81854,15.5885,0,0,167,30715,1919
"60M8MBPS:041",41,,254.854,-1.84567,15.8248,0,0,253,2912,182
"60M8MBPS:042",42,,2468.27,-1.79728,3.14619,0,1,2466,9167,572
"60M8MBPS:044",44,,3366.01,-1.828,3.96496,0,2,3364,52029,3251
"60M8MBPS:045",45,,2475.54,-2.81407,11.1324,0,0,2473,10448,653
"60M8MBPS:046",46,,3452.47,-1.81794,1.9087,0,0,3450,51050,3190
"60M8MBPS:047",47,,2996.22,-1.81655,2.14068,0,0,2994,46855,2928
"60M8MBPS:048",48,,1015.13,-1.84936,10.1363,0,0,1013,11418,713
"60M8MBPS:049",49,,1200.55,-1.81573,-2.585,0,0,1199,37126,2320
"60M8MBPS:050",50,,3505.24,-1.82305,2.39909,0,0,3503,45131,2820
"60M8MBPS:051",51,,765.452,-1.80148,9.10017,0,0,763,56324,3520
"60M8MBPS:052",52,,2344.04,-1.81965,-0.258809,0,0,2342,8700,543
"60M8MBPS:053",53,,18.0306,-1.80974,16.2508,0,0,16,30555,1909
"60M8MBPS:054",54,,1024.27,-1.77932,9.37665,0,0,1022,31609,1975
"60M8MBPS:055",55,,285.368,-1.80645,11.1773,0,0,283,1483,92
"60M8MBPS:056",56,,91.5076,-1.79557,12.3505,0,1,90,30625,1914
"60M8MBPS:057",57,,2780.48,-2.82371,3.17701,0,0,2777,22195,1387
"60M8MBPS:058",58,,1921.63,-1.80801,8.08872,0,1,1920,29672,1854
"60M8MBPS:059",59,,3615.82,-1.79947,12.2699,0,0,3614,34172,2135
"60M8MBPS:060",60,,1209.47,-1.82345,8.60499,0,0,1207,3916,244
"60M8MBPS:062",62,,3211.37,-1.80215,2.03569,0,1,3209,33795,2112
"60M8MBPS:063",63,,1891.48,-2.82756,1.76574,0,1,1888,28347,1771
"60M8MBPS:064",64,,1480.75,-1.82176,8.36786,0,0,1479,47536,2971
"60M8MBPS:065",65,,23.9366,-1.82182,15.4852,0,0,22,62241,3890
"60M8MBPS:066",66,,2806.15,-1.8132,2.90397,0,0,2804,54464,3404
"60M8MBPS:067",67,,655.791,-1.84258,9.48964,0,0,654,8609,538
"60M8MBPS:068",68,,3436.22,-1.82927,2.27644,0,0,3434,24660,1541
"60M8MBPS:069",69,,3355.57,-1.82367,2.7328,0,1,3354,33941,2121
"60M8MBPS:070",70,,2142.65,-1.77997,7.00456,0,0,2141,33112,2069
"60M8MBPS:071",71,,2793.77,-1.79986,2.33835,0,0,2792,43550,2721
"60M8MBPS:072",72,,1803.17,-1.83885,3.30661,0,0,1801,25478,1592
"60M8MBPS:073",73,,568.093,-1.83457,11.4203,0,0,566,7930,495
"60M8MBPS:074",74,,3480.68,-1.85116,3.65029,0,0,3479,34105,2131
"60M8MBPS:075",75,,231.228,-1.82899,11.404,0,0,229,55517,3469
"60M8MBPS:076",76,,874.913,-1.80876,10.9557,0,0,873,13003,812
"60M8MBPS:077",77,,3660.19,-1.81239,2.82699,0,1,3658,57486,3592
"60M8MBPS:078",78,,2488.51,-2.79573,2.95471,0,2,2486,37944,2371
"60M8MBPS:079",79,,3864.89,-1.81429,12.4317,0,1,3863,43559,2722
"60M8MBPS:080",80,,3010.6,-1.83022,2.75205,0,0,3009,20422,1276
"60M8MBPS:081",81,,190.085,-1.81056,10.1757,0,1,188,62032,3877
"60M8MBPS:082",82,,2206.88,-1.8194,2.4664,0,1,2205,13368,835
"60M8MBPS:083",83,,3879.96,-1.82449,2.27299,0,0,3878,24422,1526
"60M8MBPS:084",84,,1967.11,-1.79331,10.2956,0,0,1965,32901,2056
"60M8MBPS:085",85,,313.427,-1.76503,11.6526,0,0,311,55136,3446
"60M8MBPS:086",86,,2753.34,-1.8133,3.41347,0,1,2751,50593,3162
"60M8MBPS:087",87,,1680.47,-1.78945,8.80247,0,0,1678,32211,2013
"60M8MBPS:088",88,,925.113,-1.79284,10.3262,0,0,923,204,12
"60M8MBPS:089",89,,2067.68,-1.79087,8.57419,0,0,2066,47118,2944
"60M8MBPS:090",90,,1432.99,-1.77835,9.26379,0,0,1431,58365,3647
"60M8MBPS:091",91,,694.893,-1.81961,11.6789,0,1,693,8071,504
"60M8MBPS:092",92,,1851.78,-1.83044,2.0212,0,0,1850,28449,1778
"60M8MBPS:093",93,,3974.69,-1.84349,2.86795,0,0,3973,34519,2157
"60M8MBPS:094",94,,1314.31,-1.7807,9.15134,0,0,1312,56048,3503
"60M8MBPS:095",95,,3673.9,-1.83849,-2.86656,0,0,3672,55148,3446
"60M8MBPS:096",96,,1649.81,-1.81981,0.985003,0,1,1648,19084,1192
"60M8MBPS:097",97,,1140.09,-1.84501,3.47852,0,0,1138,15494,968
"60M8MBPS:098",98,,1983.93,-1.85664,3.14906,0,1,1982,30653,1915
"60M8MBPS:099",99,,548.965,-1.8264,12.9592,0,1,547,31486,1967
"60M8MBPS:0101",101,,1596.43,-1.77912,9.98998,0,1,1594,32122,2007
"60M8MBPS:0102",102,,3313.01,-1.8204,3.93613,0,0,3311,27206,1700
"60M8MBPS:0103",103,,3791.67,-1.83988,4.99063,0,0,3790,59530,3720
"60M8MBPS:0104",104,,3902.89,-1.80609,3.71526,0,0,3901,27413,1713
