mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"80M 8MSPS:0",0,-89,10.25,11
"80M 8MSPS:02",2,-81,10.25,12
"80M 8MSPS:03",3,-85,10.50,12
"80M 8MSPS:04",4,-85,10.75,12
"80M 8MSPS:05",5,-87,10.50,12
"80M 8MSPS:06",6,-89,10.25,12
"80M 8MSPS:07",7,-90,10.50,12
"80M 8MSPS:08",8,-93,10.25,12
"80M 8MSPS:09",9,-92,10.00,12
"80M 8MSPS:010",10,-91,10.25,13
"80M 8MSPS:011",11,-95,10.00,13
"80M 8MSPS:012",12,-91,10.50,13
"80M 8MSPS:013",13,-83,12.25,13
"80M 8MSPS:014",14,-81,11.75,13
"80M 8MSPS:015",15,-87,11.25,13
"80M 8MSPS:016",16,-88,11.50,13
"80M 8MSPS:017",17,-95,10.00,13
"80M 8MSPS:018",18,-92,10.50,13
"80M 8MSPS:019",19,-82,11.75,13
"80M 8MSPS:020",20,-81,11.50,13
"80M 8MSPS:021",21,-86,11.25,13
"80M 8MSPS:022",22,-83,11.50,13
"80M 8MSPS:023",23,-86,11.25,13
"80M 8MSPS:024",24,-86,11.00,13
"80M 8MSPS:025",25,-81,11.50,13
"80M 8MSPS:026",26,-92,10.25,13
"80M 8MSPS:027",27,-80,11.75,13
"80M 8MSPS:028",28,-81,11.75,13
"80M 8MSPS:029",29,-82,11.50,13
"80M 8MSPS:030",30,-83,11.50,13
"80M 8MSPS:031",31,-87,13.25,13
"80M 8MSPS:032",32,-92,10.00,13
"80M 8MSPS:033",33,-85,11.00,13
"80M 8MSPS:034",34,-87,11.00,13
"80M 8MSPS:035",35,-84,12.00,13
"80M 8MSPS:036",36,-87,11.00,13
"80M 8MSPS:037",37,-81,11.00,13
"80M 8MSPS:038",38,-84,11.00,13
"80M 8MSPS:039",39,-82,11.50,13
"80M 8MSPS:040",40,-88,11.00,13
"80M 8MSPS:041",41,-86,10.75,13
"80M 8MSPS:042",42,-86,10.75,13
"80M 8MSPS:044",44,-84,11.75,13
"80M 8MSPS:045",45,-85,11.25,13
"80M 8MSPS:046",46,-85,11.50,13
"80M 8MSPS:047",47,-87,11.00,13
"80M 8MSPS:048",48,-85,11.75,13
"80M 8MSPS:049",49,-87,10.75,13
"80M 8MSPS:050",50,-84,11.75,13
"80M 8MSPS:051",51,-84,11.25,13
"80M 8MSPS:052",52,-86,11.00,13
"80M 8MSPS:053",53,-88,11.25,13
"80M 8MSPS:054",54,-89,10.50,13
"80M 8MSPS:055",55,-89,11.00,13
"80M 8MSPS:057",57,-85,11.25,13
"80M 8MSPS:058",58,-91,10.25,13
"80M 8MSPS:059",59,-87,10.75,13
"80M 8MSPS:060",60,-86,11.25,13
"80M 8MSPS:061",61,-87,10.75,13
"80M 8MSPS:062",62,-85,11.00,13
"80M 8MSPS:063",63,-86,10.50,13
"80M 8MSPS:064",64,-97,9.00,13
"80M 8MSPS:065",65,-84,11.75,13
"80M 8MSPS:066",66,-84,11.25,13
"80M 8MSPS:067",67,-83,11.25,13
"80M 8MSPS:068",68,-85,10.75,13
"80M 8MSPS:069",69,-89,11.00,13
"80M 8MSPS:070",70,-92,13.25,13
"80M 8MSPS:071",71,-85,11.75,13
"80M 8MSPS:072",72,-82,11.50,13
"80M 8MSPS:073",73,-84,12.00,13
"80M 8MSPS:074",74,-87,11.00,13
"80M 8MSPS:075",75,-81,11.50,13
"80M 8MSPS:076",76,-82,11.25,13
"80M 8MSPS:077",77,-80,11.75,13
"80M 8MSPS:078",78,-84,12.00,13
"80M 8MSPS:079",79,-81,11.75,13
"80M 8MSPS:080",80,-82,11.25,13
"80M 8MSPS:081",81,-83,10.75,13
"80M 8MSPS:082",82,-82,11.00,13
"80M 8MSPS:083",83,-82,11.00,13
"80M 8MSPS:084",84,-84,11.50,13
"80M 8MSPS:085",85,-83,11.75,13
"80M 8MSPS:086",86,-84,11.25,13
"80M 8MSPS:087",87,-82,11.75,13
"80M 8MSPS:088",88,-84,11.50,13
"80M 8MSPS:089",89,-83,11.50,13
"80M 8MSPS:090",90,-85,11.50,13
"80M 8MSPS:091",91,-84,11.75,13
"80M 8MSPS:092",92,-92,10.25,13
"80M 8MSPS:093",93,-86,11.75,13
"80M 8MSPS:094",94,-84,11.00,13
"80M 8MSPS:095",95,-85,11.00,13
"80M 8MSPS:096",96,-88,11.00,13
"80M 8MSPS:097",97,-87,11.50,13
"80M 8MSPS:098",98,-89,11.00,13
"80M 8MSPS:099",99,-97,8.25,13
"80M 8MSPS:0100",100,-96,9.00,14
"80M 8MSPS:0101",101,-94,10.25,14
"80M 8MSPS:0102",102,-93,10.00,14
"80M 8MSPS:0103",103,-91,10.50,14
"80M 8MSPS:0104",104,-96,9.00,14
