mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"mapuka�8MSPS:08",8,-4.35567e-07,65.9455,-0.165251,-11.6182,1,0
"Mapuka 8MSPS:0",0,-1.92917e-07,42.9758,-0.19174,-1.57159,0,0
"Mapuka 8MSPS:01",1,-1.19534e-05,3.50514,-1.18532,-2.28695,0,0
"Mapuka 8MSPS:02",2,8.4651e-07,34.1057,-0.180297,-2.27101,0,0
"Mapuka 8MSPS:03",3,-1.19989e-05,23.4994,-1.19455,-2.29249,0,0
"Mapuka 8MSPS:04",4,-9.46399e-07,113.882,-0.182903,-2.25865,0,0
"Mapuka 8MSPS:05",5,-6.67728e-07,99.9164,-0.16103,-3.15394,0,0
"Mapuka 8MSPS:06",6,9.81362e-07,78.1226,-0.196773,-0.781148,0,0
"Mapuka 8MSPS:07",7,1.0413e-06,78.1301,-0.173465,-0.908011,0,0
"Mapuka 8MSPS:08",8,-1.52912e-06,30.8088,-0.184021,-0.708907,0,0
"Mapuka 8MSPS:09",9,3.31443e-06,108.414,-0.197747,-1.16463,0,0
"Mapuka 8MSPS:010",10,5.81615e-07,105.073,-0.183262,-1.136,0,0
"Mapuka 8MSPS:011",11,-4.75222e-07,37.9405,-0.185095,-2.81996,0,0
"Mapuka 8MSPS:012",12,-3.32259e-06,42.5846,-0.203959,-3.71712,0,0
"Mapuka 8MSPS:013",13,1.01734e-06,42.1271,-0.17603,-2.45387,0,0
"Mapuka 8MSPS:014",14,3.77209e-07,41.047,-0.1815,-4.8299,0,0
"Mapuka 8MSPS:015",15,-1.36785e-07,48.9828,-0.191647,-2.29833,0,0
"Mapuka 8MSPS:016",16,-1.10487e-05,1.61822,-1.20071,-4.18869,0,0
"Mapuka 8MSPS:017",17,3.6388e-06,13.4547,-0.183477,-1.56994,0,0
"Mapuka 8MSPS:018",18,2.63045e-06,20.3287,-0.208057,-5.72102,0,0
"Mapuka 8MSPS:019",19,-1.15824e-05,9.5515,-1.19845,-3.07663,0,0
"Mapuka 8MSPS:020",20,-1.30697e-06,113.837,-0.167029,-4.45373,0,0
"Mapuka 8MSPS:021",21,9.60711e-07,42.12,-0.190607,-2.12378,0,0
