mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"1M 8MSPS:0",0,2.79917e-07,58.0349,-0.182969,20.2908,0,0
"1M 8MSPS:01",1,1.55039e-06,89.1937,-0.184022,20.3064,0,0
"1M 8MSPS:02",2,4.9833e-07,46.0622,-0.179368,20.6883,0,0
"1M 8MSPS:03",3,-2.99962e-06,105.625,-0.198564,13.2632,0,0
"1M 8MSPS:04",4,2.95042e-06,6.3687,-0.184068,20.2472,0,0
"1M 8MSPS:05",5,2.55804e-06,67.3196,-0.187601,20.4084,0,0
"1M 8MSPS:06",6,3.68132e-06,27.4601,-0.192404,20.4966,0,0
"1M 8MSPS:07",7,2.81585e-06,49.3519,-0.190393,19.6634,0,0
"1M 8MSPS:08",8,-2.71133e-06,37.661,-0.196576,20.2189,0,0
"1M 8MSPS:09",9,3.26735e-06,2.40831,-0.1901,20.4907,0,0
"1M 8MSPS:010",10,-1.0225e-06,93.8721,-0.178718,20.3506,0,0
"1M 8MSPS:011",11,3.41799e-06,49.4271,-0.191524,20.5024,0,0
"1M 8MSPS:012",12,1.32417e-06,40.1654,-0.183241,20.3347,0,0
"1M 8MSPS:013",13,1.94393e-06,15.2429,-0.183427,20.2446,0,0
"1M 8MSPS:014",14,7.77988e-07,109.097,-0.18205,19.7968,0,0
"1M 8MSPS:015",15,-9.93631e-07,111.876,-0.172711,20.3547,0,0
"1M 8MSPS:016",16,8.80542e-07,100.11,-0.180959,20.4894,0,0
"1M 8MSPS:017",17,-5.05902e-07,68.9367,-0.17622,20.3822,0,0
"1M 8MSPS:018",18,-3.39677e-06,61.5753,-0.194092,19.7659,0,0
"1M 8MSPS:019",19,2.45853e-06,64.3072,-0.185352,20.5486,0,0
"1M 8MSPS:020",20,-2.1964e-06,39.7254,-0.167201,20.4272,0,0
"1M 8MSPS:021",21,-2.51162e-06,91.686,-0.165796,20.6335,0,0
"1M 8MSPS:022",22,3.45051e-06,18.4312,-0.181387,20.3541,0,0
"1M 8MSPS:023",23,2.66596e-06,34.3331,-0.180469,20.1305,0,0
"1M 8MSPS:024",24,2.56368e-06,77.3204,-0.181314,20.2071,0,1
"1M 8MSPS:025",25,1.31906e-06,103.165,-0.17701,19.8608,0,0
"1M 8MSPS:026",26,-1.23142e-06,54.846,-0.167646,20.2243,0,0
"1M 8MSPS:027",27,1.83828e-06,109.23,-0.181257,20.5298,0,0
"1M 8MSPS:028",28,1.53618e-06,22.1919,-0.182899,20.5983,0,0
"1M 8MSPS:029",29,1.41802e-06,125.177,-0.178592,20.5235,0,0
"1M 8MSPS:030",30,-8.50065e-07,23.8936,-0.17636,20.5208,0,0
"1M 8MSPS:031",31,2.17274e-06,105.271,-0.178565,20.5307,0,0
"1M 8MSPS:032",32,1.27833e-06,56.1597,-0.180696,20.5713,0,0
"1M 8MSPS:033",33,-1.13631e-05,14.5789,-1.17718,20.4753,0,0
"1M 8MSPS:034",34,3.21855e-06,109.402,-0.184574,20.5922,0,0
"1M 8MSPS:035",35,-2.8377e-06,30.6452,-0.190606,20.1653,0,0
"1M 8MSPS:036",36,-8.90075e-07,124.889,-0.173303,20.272,0,0
"1M 8MSPS:037",37,2.30028e-06,51.2874,-0.184032,20.4711,0,0
"1M 8MSPS:038",38,-5.06226e-07,-0.0633819,-0.178537,19.464,0,0
"1M 8MSPS:039",39,2.89606e-06,56.3619,-0.181075,20.2784,0,0
"1M 8MSPS:040",40,3.87447e-06,27.4842,-0.189555,20.4422,0,0
"1M 8MSPS:041",41,3.11396e-06,74.3891,-0.182641,20.3925,0,0
"1M 8MSPS:042",42,3.34861e-06,61.4185,-0.182382,20.3772,0,0
"1M 8MSPS:043",43,3.62777e-06,74.4534,-0.183366,20.2171,0,0
"1M 8MSPS:044",44,-3.37537e-08,43.9957,-0.173327,19.9575,0,0
"1M 8MSPS:045",45,-2.77219e-06,40.6534,-0.188766,20.2339,0,0
"1M 8MSPS:046",46,2.36358e-06,32.2953,-0.179053,20.2211,0,0
"1M 8MSPS:047",47,-3.95139e-06,88.506,-0.187329,20.4289,0,0
"1M 8MSPS:048",48,-1.39984e-06,8.82492,-0.170728,20.1512,0,0
"1M 8MSPS:049",49,1.44359e-06,72.1803,-0.175406,20.3357,0,0
"1M 8MSPS:050",50,1.21371e-06,34.1516,-0.177103,19.9825,0,1
"1M 8MSPS:051",51,-4.67835e-07,121.941,-0.169814,20.192,0,0
"1M 8MSPS:052",52,-1.79861e-06,3.77507,-0.181701,19.1818,0,0
"1M 8MSPS:053",53,-2.74653e-06,41.6566,-0.187587,20.234,0,0
"1M 8MSPS:054",54,-2.54398e-06,110.682,-0.162615,19.7589,0,0
"1M 8MSPS:055",55,2.10551e-06,66.2631,-0.175231,20.4539,0,0
"1M 8MSPS:056",56,1.86425e-06,5.23293,-0.18008,20.3818,0,0
"1M 8MSPS:057",57,1.89061e-06,117.236,-0.177569,20.1747,0,0
"1M 8MSPS:058",58,1.92236e-06,111.24,-0.177375,19.9327,0,0
"1M 8MSPS:059",59,3.57367e-06,55.4466,-0.186634,20.3158,0,0
"1M 8MSPS:060",60,8.686e-07,27.1085,-0.179547,20.6185,0,0
"1M 8MSPS:061",61,-3.15496e-06,52.6055,-0.188874,20.1996,0,0
"1M 8MSPS:062",62,-1.26389e-06,57.8419,-0.169005,20.0603,0,0
"1M 8MSPS:063",63,-3.82912e-06,39.5212,-0.190863,20.5256,0,0
"1M 8MSPS:064",64,1.47297e-06,20.184,-0.177123,20.4052,0,0
"1M 8MSPS:065",65,-6.48793e-07,95.9188,-0.170272,20.26,0,0
"1M 8MSPS:066",66,1.81287e-06,109.227,-0.179322,20.3278,0,0
"1M 8MSPS:067",67,-1.27245e-06,87.8408,-0.17139,20.0555,0,0
"1M 8MSPS:068",68,-3.72524e-06,69.5342,-0.1844,20.371,0,0
"1M 8MSPS:069",69,-2.7024e-06,100.662,-0.190891,20.2524,0,0
"1M 8MSPS:070",70,1.21946e-06,89.1523,-0.176377,20.6115,0,1
"1M 8MSPS:071",71,-1.60154e-06,109.8,-0.165709,20.3026,0,0
"1M 8MSPS:072",72,-1.1912e-05,105.51,-1.18683,15.7086,0,0
"1M 8MSPS:073",73,2.33577e-06,55.2919,-0.178576,20.3628,0,0
"1M 8MSPS:074",74,3.48259e-06,68.4352,-0.183177,20.5133,0,0
"1M 8MSPS:075",75,2.13708e-06,24.267,-0.177982,20.2779,0,0
"1M 8MSPS:076",76,1.91595e-06,25.2394,-0.179809,20.3219,0,0
"1M 8MSPS:077",77,-2.99308e-06,117.626,-0.187035,20.0584,0,0
"1M 8MSPS:078",78,-3.12164e-06,60.6097,-0.185286,20.2848,0,0
"1M 8MSPS:079",79,-2.36335e-06,41.7045,-0.170728,20.4184,0,0
"1M 8MSPS:080",80,-2.96722e-06,113.629,-0.190517,20.2948,0,0
"1M 8MSPS:081",81,2.50412e-07,37.0312,-0.171558,20.3291,0,0
"1M 8MSPS:082",82,2.5253e-06,127.316,-0.182075,20.3868,0,0
"1M 8MSPS:083",83,-2.65669e-06,107.668,-0.195178,20.2376,0,0
"1M 8MSPS:084",84,-2.33521e-06,92.708,-0.166569,19.3339,0,0
"1M 8MSPS:085",85,2.49915e-06,106.312,-0.181556,20.4441,0,0
"1M 8MSPS:086",86,2.14287e-06,71.2678,-0.180651,20.3599,0,0
"1M 8MSPS:087",87,-7.87777e-08,92.9901,-0.175243,20.4638,0,0
"1M 8MSPS:088",88,-1.92151e-06,107.76,-0.167351,19.7719,0,0
