mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"40M 4MSPS:0",0,-71,11.00,11
"40M 4MSPS:01",1,-76,10.75,12
"40M 4MSPS:02",2,-73,10.50,12
"40M 4MSPS:03",3,-72,10.50,12
"40M 4MSPS:04",4,-72,10.00,12
"40M 4MSPS:05",5,-71,10.75,12
"40M 4MSPS:06",6,-71,10.50,12
"40M 4MSPS:07",7,-69,10.75,12
"40M 4MSPS:08",8,-72,10.75,12
"40M 4MSPS:09",9,-70,10.50,12
"40M 4MSPS:010",10,-69,12.00,13
"40M 4MSPS:011",11,-71,11.50,13
"40M 4MSPS:012",12,-71,11.00,13
"40M 4MSPS:013",13,-70,11.00,13
"40M 4MSPS:014",14,-70,10.75,13
"40M 4MSPS:015",15,-68,11.25,13
"40M 4MSPS:017",17,-71,11.25,13
"40M 4MSPS:018",18,-70,11.00,13
"40M 4MSPS:019",19,-72,10.75,13
"40M 4MSPS:020",20,-72,11.25,13
"40M 4MSPS:021",21,-71,11.00,13
"40M 4MSPS:022",22,-68,12.50,13
"40M 4MSPS:023",23,-70,11.00,13
"40M 4MSPS:024",24,-71,11.25,13
"40M 4MSPS:025",25,-69,11.25,13
"40M 4MSPS:026",26,-71,10.75,13
"40M 4MSPS:027",27,-70,11.25,13
"40M 4MSPS:028",28,-69,11.25,13
"40M 4MSPS:029",29,-71,10.75,13
"40M 4MSPS:030",30,-70,11.25,13
"40M 4MSPS:031",31,-70,11.25,13
"40M 4MSPS:032",32,-71,11.75,13
"40M 4MSPS:033",33,-69,11.00,13
"40M 4MSPS:034",34,-71,11.00,13
"40M 4MSPS:036",36,-68,11.50,13
"40M 4MSPS:037",37,-70,10.75,13
"40M 4MSPS:038",38,-72,11.25,13
"40M 4MSPS:039",39,-78,11.50,13
"40M 4MSPS:040",40,-73,10.75,13
"40M 4MSPS:042",42,-68,11.25,13
"40M 4MSPS:043",43,-75,11.00,13
"40M 4MSPS:044",44,-73,10.75,13
"40M 4MSPS:046",46,-72,10.50,13
"40M 4MSPS:047",47,-71,11.25,13
"40M 4MSPS:048",48,-72,10.75,13
"40M 4MSPS:049",49,-71,10.75,13
"40M 4MSPS:050",50,-72,10.75,13
"40M 4MSPS:052",52,-71,10.50,13
"40M 4MSPS:053",53,-73,11.00,13
"40M 4MSPS:054",54,-70,10.75,13
"40M 4MSPS:055",55,-71,10.75,13
"40M 4MSPS:056",56,-71,10.75,13
"40M 4MSPS:057",57,-71,10.50,13
"40M 4MSPS:059",59,-72,11.25,13
"40M 4MSPS:060",60,-72,11.00,13
"40M 4MSPS:061",61,-72,11.25,13
"40M 4MSPS:062",62,-73,10.25,13
"40M 4MSPS:063",63,-72,10.75,13
"40M 4MSPS:064",64,-72,10.75,13
"40M 4MSPS:065",65,-72,11.00,13
"40M 4MSPS:066",66,-71,10.75,13
"40M 4MSPS:067",67,-71,10.75,13
"40M 4MSPS:068",68,-72,11.00,13
"40M 4MSPS:069",69,-70,11.00,13
"40M 4MSPS:070",70,-70,10.50,13
"40M 4MSPS:071",71,-70,10.00,13
"40M 4MSPS:072",72,-69,11.00,13
"40M 4MSPS:073",73,-71,11.25,13
"40M 4MSPS:074",74,-72,11.00,13
"40M 4MSPS:075",75,-71,11.00,13
"40M 4MSPS:076",76,-72,13.50,13
"40M 4MSPS:077",77,-71,11.00,13
"40M 4MSPS:078",78,-71,10.25,13
"40M 4MSPS:079",79,-71,11.25,13
"40M 4MSPS:080",80,-70,11.00,13
"40M 4MSPS:081",81,-70,11.25,13
"40M 4MSPS:082",82,-69,11.75,13
"40M 4MSPS:083",83,-69,11.75,13
"40M 4MSPS:084",84,-70,11.25,13
"40M 4MSPS:085",85,-70,11.00,13
"40M 4MSPS:086",86,-70,11.00,13
"40M 4MSPS:087",87,-70,10.75,13
"40M 4MSPS:088",88,-70,11.00,13
"40M 4MSPS:089",89,-71,11.75,13
"40M 4MSPS:090",90,-72,11.25,13
"40M 4MSPS:091",91,-70,11.50,13
"40M 4MSPS:092",92,-71,11.25,13
"40M 4MSPS:093",93,-71,11.50,13
"40M 4MSPS:094",94,-71,11.00,13
"40M 4MSPS:095",95,-71,11.50,13
"40M 4MSPS:096",96,-69,11.25,13
"40M 4MSPS:097",97,-70,11.50,13
"40M 4MSPS:098",98,-73,11.25,13
"40M 4MSPS:099",99,-70,11.25,13
"40M 4MSPS:0100",100,-71,11.50,14
"40M 4MSPS:0101",101,-70,10.75,14
"40M 4MSPS:0102",102,-71,12.00,14
