mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"120M8MBPS:03",3,,88.6599,-0.220359,2.12795,0,0,89,5727,89
"120M8MBPS:04",4,,4.22826,-0.220022,9.05509,0,1,4,6467,101
"120M8MBPS:05",5,,19.4696,-0.214752,-0.53625,0,0,19,3121,48
"120M8MBPS:06",6,,62.1718,-0.226501,5.30265,0,0,62,6589,102
"120M8MBPS:07",7,,47.2016,-0.224061,12.0414,0,1,47,4145,64
"120M8MBPS:08",8,,48.4276,-0.220416,5.55273,0,0,48,1332,20
"120M8MBPS:09",9,,116.602,-1.2279,3.56019,0,0,116,6767,105
"120M8MBPS:010",10,,110.78,-0.211585,5.67098,0,1,111,3253,50
"120M8MBPS:011",11,,53.132,-0.212016,1.9808,0,0,53,1397,21
"120M8MBPS:012",12,,102.884,-0.210613,7.19741,0,0,103,4189,65
"120M8MBPS:013",13,,122.498,-0.235493,2.86502,0,0,122,5379,84
"120M8MBPS:015",15,,73.0563,-0.209497,0.907496,0,0,73,4177,65
"120M8MBPS:016",16,,95.6573,-0.222888,4.8079,0,0,96,5250,82
"120M8MBPS:017",17,,14.6053,-1.22924,4.14829,0,2,14,4635,72
"120M8MBPS:018",18,,6.71397,-0.22113,8.0458,0,0,7,4178,65
"120M8MBPS:019",19,,121.841,-0.210339,6.29474,0,0,122,5882,91
"120M8MBPS:020",20,,0.603096,-1.21819,10.0196,0,0,0,2805,43
"120M8MBPS:021",21,,100.533,-0.228453,10.3776,0,0,101,5678,88
"120M8MBPS:022",22,,31.2917,-0.219478,8.60222,0,0,31,5461,85
"120M8MBPS:023",23,,118.645,-1.23242,5.06115,0,0,118,4066,63
"120M8MBPS:024",24,,12.4312,-0.222378,-1.39384,0,0,12,6503,101
"120M8MBPS:025",25,,98.7026,-0.232233,4.09146,0,0,99,301,4
"120M8MBPS:026",26,,125.821,-0.212618,4.74956,0,0,126,3591,56
"120M8MBPS:027",27,,17.2394,-0.215641,8.13883,0,0,17,7690,120
"rx msg: 120ݨ�қ㦘�",-1,,83.9121,-0.213689,-7.85467,1,0,84,3195,49
"120M8MBPS:029",29,,3.34895,-0.219343,6.76752,0,0,3,4594,71
"120M8MBPS:030",30,,50.119,-0.212225,-3.4824,0,0,50,4349,67
"120M8MBPS:031",31,,36.367,-0.222273,-0.236064,0,0,36,5347,83
"120M8MBPS:032",32,,22.2021,-0.222702,8.04838,0,0,22,1993,31
"120M8MBPS:033",33,,45.8647,-0.222526,2.36463,0,0,46,1231,19
"120M8MBPS:034",34,,6.1672,-0.220111,4.63891,0,0,6,4281,66
"120M8MBPS:035",35,,120.555,-1.2376,3.82282,0,0,120,4444,69
"120M8MBPS:036",36,,69.0988,-0.221925,8.1413,0,0,69,6136,95
"120M8MBPS:037",37,,58.0962,-0.220413,0.776752,0,3,58,7192,112
"120M8MBPS:038",38,,98.9803,-0.21103,-1.38937,0,0,99,6480,101
"120M8MBPS:039",39,,72.426,-0.215742,5.05393,0,0,72,7491,117
"120M8MBPS:040",40,,9.10823,-0.213089,0.706793,0,0,9,3113,48
"120M8MBPS:041",41,,104.486,-0.222699,6.90879,0,0,104,141,2
"120M8MBPS:042",42,,6.00916,-0.233346,-1.93932,0,0,6,2888,45
"120M8MBPS:043",43,,111.203,-0.216926,-4.33935,0,0,111,6179,96
"120M8MBPS:044",44,,115.564,-1.20894,-9.44178,0,0,115,1234,19
"120M8MBPS:045",45,,55.6808,-0.210557,-7.71136,0,0,56,3982,62
"120M8MBPS:046",46,,68.9247,-0.233879,-9.38353,0,0,69,6662,104
"120M8MBPS:047",47,,53.6,-0.218191,-2.04055,0,0,54,711,11
"120M8MBPS:048",48,,44.5057,-0.225289,7.12915,0,2,45,7179,112
"120M8MBPS:049",49,,38.0444,-0.213268,4.35071,0,0,38,2851,44
"120M8MBPS:050",50,,51.0395,-0.213241,1.02037,0,2,51,1110,17
"120M8MBPS:051",51,,61.59,-0.232946,-2.3815,0,0,62,7077,110
"120M8MBPS:052",52,,95.4614,-0.229958,-0.0733243,0,0,95,2444,38
"120M8MBPS:053",53,,123.054,-0.216471,5.67108,0,1,123,4047,63
"120M8MBPS:054",54,,50.701,-0.236554,5.21662,0,0,51,4533,70
"120M8MBPS:055",55,,120.598,-1.22387,2.65646,0,0,120,3935,61
"120M8MBPS:056",56,,16.6161,-0.223677,4.72046,0,0,17,7576,118
"120M8MBPS:057",57,,84.7145,-0.205218,2.79382,0,0,85,4872,76
"120M8MBPS:058",58,,20.1868,-0.220055,2.05735,0,0,20,5218,81
"120M8MBPS:059",59,,31.732,-0.222099,-1.45711,0,1,32,7693,120
"120M8MBPS:060",60,,57.4813,-0.23513,6.90925,0,0,57,5679,88
"120M8MBPS:061",61,,42.2771,-0.225132,7.93345,0,1,42,8069,126
"120M8MBPS:062",62,,87.2965,-0.228771,-5.60871,0,0,87,5268,82
"120M8MBPS:063",63,,65.0311,-0.218267,5.08089,0,0,65,790,12
"120M8MBPS:064",64,,23.6482,-0.223217,6.6653,0,0,24,4110,64
"120M8MBPS:065",65,,7.19433,-0.222058,-2.45115,0,0,7,5470,85
"120M8MBPS:066",66,,20.2896,-0.228424,8.61111,0,0,20,3355,52
"120M8MBPS:067",67,,17.5228,-1.23517,6.00572,0,0,17,6645,103
"120M8MBPS:068",68,,88.0927,-0.224428,8.5922,0,0,88,7327,114
"120M8MBPS:069",69,,34.023,-0.223043,8.00216,0,0,34,7326,114
"120M8MBPS:070",70,,22.2327,-0.224906,5.05633,0,0,22,3851,60
"120M8MBPS:071",71,,106.291,-0.226392,-6.1159,0,0,106,4273,66
"120M8MBPS:072",72,,74.9188,-0.222759,2.35385,0,0,75,6881,107
"120M8MBPS:073",73,,56.3917,-0.228122,2.21931,0,0,56,4912,76
"120M8MBPS:074",74,,120.296,-0.220863,4.75676,0,1,120,6995,109
"120M8MBPS:075",75,,113.412,-0.223188,-0.769722,0,0,113,675,10
"120M8MBPS:076",76,,51.971,-0.222807,6.21745,0,0,52,1161,18
"120M8MBPS:077",77,,46.0514,-0.225228,7.72806,0,0,46,1648,25
"120M8MBPS:078",78,,48.4006,-0.229648,7.68956,0,0,48,1430,22
"120M8MBPS:079",79,,38.4834,-0.226204,6.9841,0,0,38,1646,25
"120M8MBPS:080",80,,54.5101,-0.231896,4.75511,0,0,55,5129,80
"120M8MBPS:081",81,,31.987,-0.222953,1.35107,0,0,32,1818,28
"rx msg: 120M8MB:�|���",-1,,95.4383,-0.229348,0.514832,1,8,95,2650,41
"120M8MBPS:083",83,,41.6617,-0.226178,3.87458,0,0,42,3427,53
"120M8MBPS:084",84,,12.2333,-0.223272,6.02186,0,1,12,6121,95
"120M8MBPS:085",85,,101.015,-0.215457,7.49033,0,0,101,4434,69
"120M8MBPS:086",86,,37.5036,-0.224633,10.0826,0,1,38,3651,57
"120M8MBPS:087",87,,1.62975,-1.22685,5.94239,0,0,1,7310,114
"120M8MBPS:088",88,,57.6979,-0.223444,3.51331,0,0,58,7653,119
"120M8MBPS:089",89,,36.1503,-0.222813,6.53331,0,0,36,1004,15
"120M8MBPS:090",90,,32.625,-0.228117,5.48523,0,0,33,8022,125
"120M8MBPS:091",91,,93.6378,-0.224561,1.52784,0,0,94,1057,16
"120M8MBPS:092",92,,79.9571,-0.219132,8.30562,0,0,80,6822,106
"120M8MBPS:093",93,,120.914,-0.227647,-9.51848,0,1,121,1011,15
"120M8MBPS:094",94,,86.7225,-0.211431,3.98342,0,0,87,604,9
"120M8MBPS:095",95,,38.8047,-0.231079,-0.37311,0,0,39,2368,37
"120M8MBPS:096",96,,9.95772,-0.224338,2.85178,0,0,10,8006,125
"120M8MBPS:097",97,,67.6592,-0.239378,3.51075,0,0,68,2075,32
"120M8MBPS:098",98,,79.6882,-0.232636,6.98575,0,0,80,7566,118
