mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"180M_2MS_125_7:0",0,,100.864,-0.199263,10.2483,0,0,101,1079,67,585,494
"180M_2MS_125_7:01",1,,4.10706,-0.204379,9.00404,0,0,4,1378,86,585,793
"180M_2MS_125_7:02",2,,44.3801,-0.205619,7.43982,0,0,44,985,61,566,419
"180M_2MS_125_7:03",3,,104.85,-0.196915,9.95612,0,0,105,1097,68,585,512
"180M_2MS_125_7:04",4,,79.1921,-0.206227,9.76272,0,0,79,622,38,584,38
"180M_2MS_125_7:05",5,,62.0772,-0.202577,10.459,0,0,62,1393,87,560,833
"180M_2MS_125_7:06",6,,91.2199,-0.210432,9.1231,0,0,91,974,60,567,407
"180M_2MS_125_7:07",7,,114.441,-0.219374,5.64177,0,0,114,1090,68,566,524
"180M_2MS_125_7:08",8,,92.7683,-0.200621,9.38479,0,0,93,620,38,568,52
"180M_2MS_125_7:09",9,,94.0004,-0.20242,8.7249,0,0,94,572,35,585,-13
"180M_2MS_125_7:010",10,,125.273,-0.20616,3.91317,0,0,125,795,49,582,213
"180M_2MS_125_7:011",11,,43.5918,-0.215379,9.92262,0,0,44,490,30,574,-84
"180M_2MS_125_7:012",12,,6.62018,-1.19502,9.13018,0,0,6,1302,81,559,743
"180M_2MS_125_7:013",13,,63.7749,-0.20237,9.24264,0,0,64,1237,77,585,652
"180M_2MS_125_7:014",14,,119.128,-0.204704,5.56856,0,0,119,1036,64,566,470
"180M_2MS_125_7:015",15,,101.075,-0.205482,6.86194,0,0,101,1419,88,584,835
"180M_2MS_125_7:016",16,,42.0751,-0.201747,9.30815,0,0,42,823,51,566,257
"180M_2MS_125_7:017",17,,45.4289,-0.215676,8.66496,0,0,45,515,32,591,-76
"180M_2MS_125_7:018",18,,124.629,-1.21373,8.45303,0,0,124,1109,69,566,543
"180M_2MS_125_7:019",19,,104.004,-0.2045,9.80722,0,0,104,1018,63,585,433
"180M_2MS_125_7:020",20,,42.1673,-0.203134,4.49175,0,0,42,27,1,568,-541
"180M_2MS_125_7:021",21,,51.232,-0.210143,10.142,0,0,51,960,60,567,393
"180M_2MS_125_7:022",22,,0.565953,-1.20505,4.90746,0,0,0,740,46,566,174
"180M_2MS_125_7:023",23,,51.374,-0.211512,8.68278,0,0,51,1939,121,583,1356
"180M_2MS_125_7:024",24,,90.9898,-0.201427,10.0523,0,0,91,798,49,584,214
"180M_2MS_125_7:025",25,,24.0916,-0.209384,8.33982,0,0,24,2016,126,585,1431
"180M_2MS_125_7:026",26,,51.1251,-0.204347,2.36293,0,0,51,602,37,583,19
"180M_2MS_125_7:027",27,,36.9542,-0.203038,9.68003,0,0,37,371,23,584,-213
"180M_2MS_125_7:028",28,,22.5401,-0.205258,9.21127,0,0,23,149,9,589,-440
"180M_2MS_125_7:029",29,,89.9864,-0.198817,6.29468,0,0,90,905,56,568,337
"180M_2MS_125_7:030",30,,41.4667,-0.214424,9.13827,0,0,41,435,27,577,-142
"180M_2MS_125_7:031",31,,19.7394,-0.19855,9.40992,0,0,20,130,8,568,-438
"180M_2MS_125_7:032",32,,0.0933551,-0.208735,10.3165,0,0,0,154,9,566,-412
"180M_2MS_125_7:033",33,,23.3314,-0.207073,9.64721,0,0,23,1008,63,582,426
"180M_2MS_125_7:034",34,,103.675,-0.215511,8.92706,0,0,104,1974,123,568,1406
"180M_2MS_125_7:035",35,,46.211,-0.209048,7.39181,0,0,46,533,33,594,-61
"180M_2MS_125_7:036",36,,83.8096,-0.150674,8.96028,0,0,84,1798,112,592,1206
"180M_2MS_125_7:037",37,,104.408,-0.214642,9.46439,0,0,104,735,45,566,169
"180M_2MS_125_7:038",38,,37.2299,-0.20968,9.83017,0,0,37,1508,94,567,941
"180M_2MS_125_7:039",39,,82.9305,-0.199992,10.2637,0,0,83,157,9,566,-409
"180M_2MS_125_7:040",40,,91.4949,-0.217303,9.62467,0,0,91,2039,127,578,1461
"180M_2MS_125_7:041",41,,40.7085,-0.194137,9.34296,0,0,41,1920,120,587,1333
