mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"Giuliano 8MSPS:0",0,3.74948e-06,38.4686,-0.180415,1.04774,0,0
"Giuliano 8MSPS:01",1,-4.94486e-07,103.938,-0.162118,-2.47721,1,0
"Giuliano 8MSPS:02",2,-5.65979e-07,14.9291,-0.180438,2.7322,0,0
"�iudiano 8MSPS:03",3,1.78502e-06,66.223,-0.178331,0.449194,1,0
"Giuliano 8MSPS:06",6,-2.94663e-06,26.6316,-0.182944,3.96006,0,0
"Giuliano 8MSPS:07",7,6.33759e-07,76.0791,-0.18062,4.51016,0,0
"Giuliano 8MSPS:09",9,-1.38901e-06,47.8263,-0.180994,-3.7292,0,0
"rx msg: �>7z��߶]p1)��",-1,3.15674e-06,14.3945,-0.182082,1.04239,1,0
"Giuliano 8MSPS:011",11,1.255e-06,95.1568,-0.178826,1.06957,0,0
"Giuliano 8MSPS:012",12,-2.62631e-07,96.9671,-0.174867,4.71966,0,0
"Giuliano 8MSPS:013",13,-3.80051e-06,77.5248,-0.18195,2.96571,0,0
"Giuliano 8MSPS:014",14,1.84976e-06,116.231,-0.192409,2.54632,0,0
"Giuliano 8MSPS:015",15,1.78229e-06,77.2227,-0.186706,3.80388,0,0
"Giuliano 8MSPS:016",16,8.64579e-07,116.108,-0.184448,4.49389,0,0
"Giuliano 8MSPS:017",17,-2.77461e-06,117.653,-0.165198,3.19964,0,0
"Giuliano 8MSPS:018",18,-3.27199e-06,47.5909,-0.194557,5.63094,0,0
"Giuliano 8MSPS:019",19,-9.41401e-07,81.8822,-0.169014,4.18989,0,0
"Giuliano 8MSPS:020",20,-2.5844e-06,9.67685,-0.178265,5.53297,0,0
"Giuliano 8MSPS:021",21,-3.11526e-06,100.61,-0.194911,3.33743,0,0
"Giuliano 8MSPS:022",22,-1.82342e-06,112.772,-0.168926,5.43794,0,0
"Giuliano 8MSPS:023",23,-6.86066e-07,89.9141,-0.174283,5.19066,0,0
"Giuliano 8MSPS:024",24,3.30836e-06,67.4134,-0.193589,1.74521,0,0
"Giuliano 8MSPS:025",25,-3.06677e-06,66.6165,-0.197311,5.92646,0,0
"Giuliano 8MSPS:026",26,-2.83311e-06,72.6458,-0.158849,6.00777,0,0
"Giuliano 8MSPS:027",27,1.52974e-06,17.1911,-0.180622,5.86278,0,0
"Giuliano 8MSPS:028",28,2.32412e-06,94.2904,-0.189526,5.55217,0,0
"Giuliano 8MSPS:029",29,1.76911e-06,79.221,-0.185238,2.47241,0,0
"Giuliano 8MSPS:030",30,-3.89812e-06,74.5126,-0.190386,5.1518,0,0
"Giuliano 8MSPS:031",31,-1.18247e-06,51.8521,-0.168667,3.18323,0,0
"Giuliano 8MSPS:032",32,3.33654e-08,76.0041,-0.170951,3.61402,0,0
"Giuliano 8MSPS:033",33,-3.98155e-07,18.9501,-0.181388,4.37762,0,0
"Giuliano 8MSPS:034",34,2.1459e-06,98.2681,-0.186072,2.99574,0,0
"Giuliano 8MSPS:035",35,3.93763e-07,86.0491,-0.17841,2.42263,0,0
"Giuliano 8MSPS:036",36,-2.07436e-06,0.740601,-0.179169,0.170858,0,0
"Giuliano 8MSPS:037",37,1.52462e-06,55.1905,-0.18625,-3.10427,0,0
"Giuliano 8MSPS:038",38,2.56574e-06,77.3206,-0.185863,1.20169,0,0
"Giuliano 8MSPS:039",39,2.03301e-06,19.254,-0.182005,2.05926,0,0
"Giuliano 8MSPS:040",40,-2.86468e-06,85.6418,-0.188702,1.64111,0,0
"Giuliano 8MSPS:041",41,-8.6186e-07,74.8922,-0.176377,-0.699778,0,0
"Giuliano 8MSPS:042",42,6.55704e-07,93.0819,-0.176353,-3.70595,0,0
"Giuliano 8MSPS:043",43,-3.77823e-06,59.5276,-0.191462,-0.640319,0,0
"Giuliano 8MSPS:044",44,3.26645e-06,66.4082,-0.188632,0.549293,0,0
"Giuliano 8MSPS:045",45,-1.72891e-06,123.784,-0.166156,0.50502,0,0
"Giuliano 8MSPS:046",46,-9.45024e-07,3.88176,-0.193087,-0.542484,0,0
"Giuliano 8MSPS:047",47,3.16329e-07,30.0394,-0.177941,1.90195,0,0
"Giuliano 8MSPS:048",48,-2.37416e-06,56.7031,-0.176205,0.278782,0,0
"Giuliano 8MSPS:049",49,-3.46945e-06,103.566,-0.194387,1.16042,0,0
"Giuliano 8MSPS:050",50,-1.43767e-07,113.982,-0.175736,1.61625,0,0
"Giuliano 8MSPS:051",51,2.53956e-06,55.3173,-0.190584,2.04109,0,0
"Giuliano 8MSPS:052",52,-2.91538e-07,9.96345,-0.190483,0.940855,0,0
"Giuliano 8MSPS:053",53,1.60667e-07,103.02,-0.188365,-1.4528,0,0
